Franchise Number,Name,Owner,Address,City,State,Zip
10957,Elmhurst,"Frangella, James & Jill",2737 S. 12th Avenue,Broadview,IL,60155-
10958,Lompoc,"Powers, Mark J.","1279 W. Stowell Road, Suite C",Santa Maria,CA,93455-
10959,Pflugerville,"Jones, David D. & Zander, Bryan",2420 Patterson Industrial Drive,Pflugerville,TX,78660-
10960,Western Lehigh County,"Doyle, Charles & Donna & Doyle, Daniel G.",1506 S. Albert Street,Allentown,PA,18103-
10961,West Seneca/Lancaster,"Braun, Thomas & Lynn & Braun, Travis & Braun, Taylor & Braun, Nicole",97 Evans Street,Hamburg,NY,14075-
10962,"Harris, Meriwether & Stewart Counties","Culpepper, James M. & Susan & Culpepper, Edward C. & Bryan, Bobby C.",17159 U.S. Highway 280 East,Smiths Station,AL,36877-
10963,Northeast  Salem,"Bucsa, Merci Y.",5100 SE Foster Road,Portland,OR,97206-
10964,Southeast Salem,"Bucsa, Merci Y.",5100 SE Foster Road,Portland,OR,97206-
10965,Ojai/Montecito,"Reed, Alan F. & Corral, Manuel T. & Barber, Darryn",226 W Ojai Ave Ste 101-Unit 276,Ojai,CA,93023-
10966,Lower East Side Manhattan,"Luzzi, Dion M.",501 B Division Street,Boonton,NJ,07005-
10967,Burlington/Woburn,"Tutsch, Jr., Joseph & Tutsch, Kayla & Mattos, Frank & Cabral, Jason & Erica & Mazurek, Richard & Jenna",815 A Woburn Street,Wilmington,MA,01887-
10969,Minot,"Conklin, Ryan & Larson, Lance",1415 21st Avenue NW,Minot,ND,58703-
10972,Central Tallahassee,"Kile, David C.",2827 Manufacturer Ct,Tallahassee,FL,32310-
10974,Carteret & East Onslow Counties,"Roberson, Brent & Nancy",142 Seth Thomas Lane,Swansboro,NC,28584-
10975,Pewaukee & Sussex,"Kaun, Ryan W. & Van Niekerk, Johan D.",N63W22639 Main Street,Sussex,WI,53089-
10978,Lawton,"Ryan, Aaron A. & Kaycee R. & Watts, Michael T. & Sara L.",1010 SW F Ave.,Lawton,OK,73501-
10979,Centennial Hills,"Brown, Kevin R.",7181 N Hualapai Way,Las Vegas,NV,89166-
10980,Mayes & Wagoner Counties,"Badley, Jerrod W. & Paula N.",28495 E 161st Street S,Coweta,OK,74429-
10981,East Mecklenburg/Matthews,"Bowen, Brian H. & Bowen, Bruce H.",4400 Morris Park Drive Suite O & R,Mint Hill,NC,28227-
10982,New Hyde Park/Mineola,"Wardell, Raymond",87-17 97th Avenue,Ozone Park,NY,11416-
10983,Maui,"Konishi, Brian & Perez, Lorena A.",775 Lower Main Street Unit F,Wailuku,HI,96793-
10987,Morgan Hill/Gilroy,"Katz, Gary & Bagheri, Arin",155 Mast Street #104,Morgan Hill,CA,95037-
10989,North Whitfield & Catoosa Counties,"Peterson, Matthew Z. & Samantha C.",25 Hannah Way,Rossville,GA,30741-
10990,West Sacramento,"Wardlaw, John Charles & Stephanie",1331 Aviation Blvd #120,Lincoln,CA,95648-
10991,Rancho Cordova,"Wardlaw, John Charles & Stephanie",1331 Aviation Blvd #120,Lincoln,CA,95648-
10992,Ennis/Red Oak,"Carey, Addison",3650 South Highway 287,Waxahachie,TX,75165-
10993,Monterey Park,"Eisakhanian, Arlen",670 Monterey Pass Road,Monterey Park,CA,91754-
10994,Morro Bay/King City,"Skelton, Robert",630 Quintana Road #227,Morro Bay,CA,93442-
10995,Manteca,"Carpenter, Robert & Jennifer",1086 Bessemer Ave #G,Manteca,CA,95337-
10996,West Modesto,"Carpenter, Robert & Jennifer",1086 Bessemer Ave #G,Manteca,CA,95337-
10997,East Modesto,"Carpenter, Robert & Jennifer",1086 Bessemer Ave #G,Manteca,CA,95337-
10998,Mercer County,"Dobson, Andrew J. & Katelyn A. & Dobson, James P.",3600 Youngstown Road SE,Warren,OH,44484-
10999,"Jefferson, Franklin & Perry Counties","Wolfe, Ryan & Lorissa",1610 Adams Drive,Marion,IL,62959-
11000,"Fayette, Haywood, Hardeman & Lauderdale Counties","McDowell, Michael Shawn",100 Harris Avenue,Whiteville,TN,38075-
11001,Shakopee/Savage/Prior Lake,"Clemente, Scott",8170 Old Carriage Court N,Shakopee,MN,55379-
11002,Barstow/Twentynine Palms,"Brogdon, Rick & Rhonda",13885 Redwood Ave.,Chino,CA,91710-
11005,South Columbus,"Parker, Kenneth N. & Pack, Ronnie D. & Spence, Michael R.",6002 Groveport Rd.,Groveport,OH,43125-
11006,Harrisburg West,"Wall, Jr., James R. & Wall, Patricia A.",444 Railroad Avenue,Camp Hill,PA,17011-
11007,Camp Hill,"Wall, Jr., James R. & Wall, Patricia A.",444 Railroad Avenue,Camp Hill,PA,17011-
11008,Towson East,"Wall, Jr., James R. & Wall, Patricia A.",15 Loveton Circle,Sparks,MD,21152-
11009,Flagstaff/East Sedona,"Passamani, Daniel R.",2307 E Spruce Avenue,Flagstaff,AZ,86004-
11010,Southwest Raleigh/Holly Springs,"Edwards, Kelly G. & Edwards, Christopher D.",4003 Hillsborough Street,Raleigh,NC,27607-
11011,Hendersonville,"Bowles, John & Susan",293 Industrial Park Drive,Waynesville,NC,28786-
11012,West Forsyth County,"Otterberg, James M. & Laura B.",2571 Landmark Drive,Winston Salem,NC,27103-
11013,West Hartford,"Garcia, MD, Noemi T.",15 N Main Street Suite 100,West Hartford,CT,06107-
11016,North Worcester,"McKendall, IV, F. Donald",10 Pullman Street,Worcester,MA,01606-
11018,SW Bakersfield,"Reed, Alan F. & Corral, Manuel T. & Barber, Darryn",7850 White Lane Suite E #153,Bakersfield,CA,93309-
11019,Columbus,"Hare, Adam & Delana",4489 Middle Road,Columbus,IN,47203-
11020,Moreno Valley,"Borcsa, Csaba",1255 W. Colton Avenue,Redlands,CA,92734-
11022,Wayne and South Lackawanna Counties,"Wentling, Kevin",3901 Birney Avenue,Moosic,PA,18507-
11023,Kearney & North Platte,"Marchese, Matthew Michael & Lindy R.",106 Central Avenue,Kearney,NE,68847-
11024,Grand Island & Hastings,"Marchese, Matthew Michael & Lindy R.",4360 W Hwy 30,Grand Island,NE,68803-
11025,Foxborough,"Kurzontkowski, David",90 Elm Street,Hopkinton,MA,01748-
11026,Southwest Santa Rosa,"Espinal-Perez, Jesus H. & Medina, Jenny M. V.",373 Blodgett Street,Cotati,CA,94931-
11029,Ionia & Montcalm Counties,"Griffioen, Brent & Jessica",5253 West River Ct NE,Comstock Park,MI,49321-
11030,Carmel Valley NE/East Rancho Santa Fe,"Thompson, James E.",9932 Mesa Rim Road Suite B,San Diego,CA,92121-
11032,Northwest Phoenix/Anthem,"Deroche, George",3120 W. Carefree Hwy Suite 1-437,Phoenix,AZ,85086-
11033,North Niagara County,"Christodoulides, Chris",8555 Packard Rd,Niagara Falls,NY,14304--5610
11034,South Richland County,"Fosdick, Michal",P.O. Box 22,Barberton,OH,44203-
11035,North Richland & Ashland Counties,"Fosdick, Michal",P.O. Box 22,Barberton,OH,44203-
11036,Greater Novato,"Espinal-Perez, Jesus H. & Medina, Jenny M. V.",P.O.Box 1070,Rohnert Park,CA,94927-
11037,North Santa Rosa/Healdsburg,"Espinal-Perez, Jesus H. & Medina, Jenny M. V.",P.O. Box 1070,Rohnert Park,CA,94927-
11038,South Santa Rosa/Sonoma Valley,"Espinal-Perez, Jesus H. & Medina, Jenny M. V.",P.O. Box 1070,Rohnert Park,CA,94927-
11040,Southeast Somerset County,"Marinello, Salvatore & Vita",370 Campus Drive,Somerset,NJ,08873-
11041,Otay Mesa/San Ysidro,"Sussman, Benjamin M. & Katz, Jordan J.",550 West B Street 4th Floor,San Diego,CA,92101-
11042,Mission Valley East,"Sussman, Benjamin M. & Katz, Jordan J.",550 West B Street,San Diego,CA,92101-
11043,Buckeye,"Leier, Chad A. & Melissa A. & Leier, Nicholas J.",726 Monroe Avenue Suite C,Buckeye,AZ,85326-
11044,West Surprise/Wickenburg,"Leier, Chad A. & Melissa A. & Leier, Nicholas J.",726 Monroe Avenue Suite C,Buckeye,AZ,85326-
11047,North York,"Wall, Jr., James R. & Wall, Patricia A.",444 Railroad Avenue,Camp Hill,PA,17011-
11050,Lawrence County,"Dobson, Andrew J. & Katelyn A. & Dobson, James P.",3600 Youngstown Road SE,Warren,OH,44484-
11052,South Hills,"Wall, Jr., James R. & Wall, Patricia A.",1951 Lincoln Highway,North Versailles,PA,15137-
11053,Metro Pittsburgh East,"Wall, Jr., James R. & Wall, Patricia A.",1951 Lincoln Highway,North Versailles,PA,15137-
11054,Monroeville,"Wall, Jr., James R. & Wall, Patricia A.",1951 Lincoln Highway,North Versailles,PA,15137-
11055,South Marion County,"Williams, Gregory T.",3407 SW 7th Street,Ocala,FL,34474-
11056,South Lubbock,"Mowery, Joel & Miller, David",7477 County Road 7000,Lubbock,TX,79407-
11057,Holladay/Cottonwood,"Tatom, Bradley & Susan & Tatom, Kevin & Tatom, Stephen","611 W 9560 S, Suite A",Sandy,UT,84070-
11058,Murray/Midvale/Cottonwood Heights,"Tatom, Bradley & Susan & Tatom, Kevin & Tatom, Stephen","611 W 9560 S, Suite A",Sandy,UT,84070-
11059,Vernon,"Hoge, Thomas & Regina",12001 Woodruff Ave. Unit A,Downey,CA,90241-
11060,Compton,"Hoge, Thomas & Regina",12001 Woodruff Ave. Unit A,Downey,CA,90241-
11063,Allegan/Barry County,"Mulder, Randall & Kimberly D. & Hoekwater, Jeremiah & Laurie M.",607 N. Eastern Avenue,Allegan,MI,49010-
11064,Van Buren County,"Mulder, Randall & Kimberly D. & Hoekwater, Jeremiah & Laurie M.",607 N. Eastern Avenue,Allegan,MI,49010-
11065,Culver City/Baldwin Hills,"Reed, Alan F. & Corral, Manuel T. & Barber, Darryn",10866 Washington Blvd #518,Culver City,CA,90232-
11066,Elmira/Chemung County & Watkins Glen/Schuyler Coun,"Yurka, Danielle Sepe & Sepe, Justin & Travis, Nicole",P.O. Box 277,Chemung,NY,14825-
11067,South Rutherford County,"Bisig, Justin & Bisig, Brandon",880 Butler Drive Suite A,Murfreesboro,TN,37127-
11068,Southeast Nashville,"Bisig, Justin & Bisig, Brandon",880 Butler Drive Suite A,Murfreesboro,TN,37127-
11069,Greenville/Troy/Andalusia,"Knowles, Johnny Lee & Tiffany Scott",40774 Highway 31,Brewton,AL,36426-
11070,"Harrison, Perry, Crawford, Orange, Washington, Sco","Wilson, Jason E.",825 Progress Blvd,New Albany,IN,47150-
11071,Clark County,"Wilson, Jason E.",825 Progress Blvd,New Albany,IN,47150-
11072,Floyd County,"Wilson, Jason E.",825 Progress Blvd,New Albany,IN,47150-
11074,South Frisco/The Colony,"Wilson, David Benjamin & Wilson, Phillip Brady",1250 S Oklahoma Drive,Celina,TX,75009-
11075,North Nashville,"Dixon, Robert M. & Jessica L.",2321 Merry St.,Nashville,TN,37208-
11076,Hermitage/Donelson,"Dixon, Robert M. & Jessica L.",2321 Merry St,Nashville,TN,37208-
11078,South Williamson County,"Bisig, Justin & Bisig, Brandon",880 Butler Drive Suite A,Murfreesboro,TN,37127-
11079,Maury/Giles Counties,"Bisig, Justin & Bisig, Brandon",222 East James Campbell Blvd,Columbia,TN,38401-
11080,West Somerset County,"Harvey, Lance L. & Jennifer L.",423 County Road Suite 2,Cliffwood,NJ,07721-
11081,Bridgewater,"Palumbo, Anthony & Cristofol, Richard J.",25 E Kearney St. Unit G,Bridgewater,NJ,08807-
11084,The East End and Hamptons,"Beck, John & Madeline",P.O. Box 2247,Southampton,NY,11968-
11085,Iredell County,"Williams, Randy S. & Kim A.",135 Rinehardt Road,Mooresville,NC,28115-
11086,Lafayette,"Betz, Jeffrey L. & McDaniel, Wilbur G. & Betz, Blake J. & Neathery, Timothy J.",307 Mecca Street,Lafayette,LA,70508-
11087,Grinnell & Pella,"Meyer, Brian Carlos",615 Hwy 1 West,Iowa City,IA,52246-
11088,South Orlando,"Nicholson, Thomas Brent & Millan, Leo",7576 S Orange Avenue,Orlando,FL,32809-
11089,Southeast El Paso/Butterfield,"Metteauer, Jim A. & Love, Jr., William R. & Rosson, Taylor R. & Broome, Zachary R.","4584 Ripley Drive, Bldg 9",El Paso,TX,79922-
11090,West El Paso,"Metteauer, Jim A. & Love, Jr., William R. & Rosson, Taylor R. & Broome, Zachary R.","4584 Ripley Drive, Bldg. 9",El Paso,TX,79922-
11092,"Bellaire, Kalkaska, Lake City & Grayling","Bailey, Douglas & Bailey, Joshua B. & Preston, Daniel G.",651 Expressway Court,Gaylord,MI,49735-
11093,West Erie County,"Dobson, Andrew J. & Katelyn A. & Dobson, James P.",4844 Buffalo Road,Erie,PA,16510-
11094,SW Onondaga County,"Luzzi, Dion M.",2320 Milton Avenue,Syracuse,NY,13209-
11095,New Orleans Uptown & Mid-City,"Metteauer, Jim A. & Love, Jr., William R. & Rosson, Taylor R.",109 E 3rd Street,Kenner,LA,70062-
11096,Bridgeton/Florissant,"Wolfe, David & Angie",2118 59th Street,St. Louis,MO,63110-
11097,St. Louis City South,"Wolfe, David & Angie",2118 59th Street,St. Louis,MO,63110-
11098,North Clay County/Oakleaf/North Middleburg,"Nicholson, Charles C. & Kimberly",35 Knight Boxx Road,Orange Park,FL,32065-
11099,Moline/Rock Island,"Earnest, Todd & Kimberly D.",7208 Jebens Avenue,Davenport,IA,52806-
11100,Davenport/Bettendorf,"Earnest, Todd & Kimberly D.",7208 Jebens Avenue,Davenport,IA,52806-
11103,Oak Lawn,"Zubricki, Frank G. & Patricia & Zubricki, Anthony F. & Zubricki, Amanda L. & Zubricki, Stephanie L.",12620 S Holiday Drive Suite A,Alsip,IL,60803-
11104,Orland Park,"Zubricki, Frank G. & Patricia & Zubricki, Anthony F. & Zubricki, Amanda L. & Zubricki, Stephanie L.",12620 S Holiday Drive Suite A,Alsip,IL,60803-
11105,Bartlett/Cordova,"Nicholson, Thomas Brent & Millan, Leo",3215 Appling Road,Bartlett,TN,38133-
11106,Germantown/Collierville,"Nicholson, Thomas Brent & Millan, Leo","109 N. Center Street, Suite C",Collierville,TN,38017-
11107,East Memphis,"Nicholson, Thomas Brent & Millan, Leo","5501 Murray Avenue, Suite B",Memphis,TN,38119-
11108,New Center/Highland Park,"Miller, Randy & Tina",2937 E Grand Blvd Suite 311,Detroit,MI,48202-
11109,Shiawassee/West Saginaw Counties,"Miller, Randy & Tina",1111 E. Main Street,Owosso,MI,48867-
11110,West Sterling Heights,"Miller, Randy & Tina",6993 19 Mile Road,Sterling Heights,MI,48314-
11111,West Hollywood/Dania Beach,"Nibbs, John M.","5925 Ravenswood Road, Suite 6",Fort Lauderdale,FL,33312-
11114,North Rutherford County,"Bisig, Justin & Bisig, Brandon",880 Butler Drive Suite A,Murfreesboro,TN,37127-
11115,North Williamson County,"Bisig, Justin & Bisig, Brandon",880 Butler Drive Suite A,Murfreesboro,TN,37127-
11116,NE San Diego County,"Araya, Juan C. & Araya, Jose A.",2870 S. Santa Fe Avenue,San Marcos,CA,92069-
11117,Northwest Louisville,"Wilson, Jason E.",334 Production Court,Louisville,KY,40299-
11119,East Concord/Brentwood,"Adefolaju, Babatunde & Mojisola","103 Technology Court, Suite D",Brentwood,CA,94513-
11120,Marina/North Salinas,"Carrillo, Steven F.",11345 Commercial Parkway,Castroville,CA,95012-
11122,North Stafford County,"Ciorcila, Ionel",2650 Jefferson Davis Hwy #1149,Stafford,VA,22554-
11123,Hyde Park/Roslindale,"Brandao, Helder",180 Reservation Road,Hyde Park,MA,02136-
11124,Jamaica Plain/Roxbury,"Brandao, Helder",A 202 Washington Street Suite 338,Brookline,MA,02446-
11125,Omaha West/Saunders County,"Toft, Lathe R. & Nicole L.",13808 F Street,Omaha,NE,68137-
11126,North Tampa/Magdalene,"Nicholson, Thomas Brent & Millan, Leo",625 E Twiggs Street Suite 10013,Tampa,FL,33602-
11127,Tampa Southeast,"Nicholson, Thomas Brent & Millan, Leo",5409 E. Henry Avenue,Tampa,FL,33610-
11128,Northwest Orlando,"Nicholson, Thomas Brent & Millan, Leo",7576 S Orange Avenue,Orlando,FL,32809-
11129,Greater Carrollwood/Citrus Park,"Nicholson, Thomas Brent & Millan, Leo",2701 W Busch Blvd Suite 142,Tampa,FL,33618-
11130,Dunedin/Palm Harbor South,"Troy, Artem Y. & Olga A.",977 Withlacoochee Street,Safety Harbor,FL,34695-
11131,Oldsmar/Westchase,"Farrell, James C.",12802 Dupont Circle,Tampa,FL,33626-
11132,Marshalltown,"Short, Jeffrey M. & Ellingson Short, Anne M.",2316 230th Street Suite 703,Ames,IA,50014-
11133,NE Hillsborough County/Plant City,"Marazzito, Joshua J. & Danielle G.",1409 E Baker Street,Plant City,FL,33563-
11134,Anderson,"Lee, Johnny M. & Valerie R.",1708C Augusta Street #106,Greenville,SC,29605-
11135,West Valley City,"Grimstead, Joshua S. & Jeanene",2550 S Decker Lake Blvd #23,West Valley City,UT,84119-
11136,Ahwatukee & South Tempe,"Curran, Thomas A. & Tax, James",45 N. Sunway Drive,Gilbert,AZ,85233-
11137,Alhambra,"Moufarrege Sr., Antoine J. & Moufarrege, Amy",P.O. Box 660151,Arcadia,CA,91066-
11138,North Riverside City,"Padgett, Jeffrey",31653 Outer Hwy 10 Unit C,Yucaipa,CA,92399-
11139,East Erie & Warren Counties,"Dobson, Andrew J. & Katelyn A. & Dobson, James P.",3600 Youngstown Road SE,Warren,OH,44484-
11140,Sparrows Point/Essex/Chase,"Rappazzo, John & Debra","9008 Yellow Brick Road, Suite F",Rosedale,MD,21237-
11141,Grand Junction,"Landers, James & Shafekah R.",925 4th Avenue,Grand Junction,CO,81505-
11142,Garfield & Pitkin Counties,"Landers, James & Shafekah R.",2425 S Grand Avenue Suite 2,Glenwood Springs,CO,81601-
11146,Des Moines NW,"Kellogg, Brett",3600 Destination Drive,Grimes,IA,50111-
11148,Marshall,"Meyer, Brian Carlos",1320 North 65 Hwy,Marshall,MO,65340-
11149,Columbia,"Meyer, Brian Carlos",2201 Vandiver Drive,Columbia,MO,65202-
11150,Sedalia,"Meyer, Brian Carlos",1320 North 65 Hwy,Marshall,MO,65340-
11152,Palmdale North,"Gabledon, Christopher E. & Diaz, Perla",654 East Rancho Vista Blvd Suite H,Palmdale,CA,93550-
11154,East Topeka,"O'Neill, Robert & Terri L.",114 E. 20th Street,Eudora,KS,66025-
11155,West Miramar/West Pembroke Pines,"Fenero, Morena D.",911 NW 209th Avenue Suite 103,Pembroke Pines,FL,33029-
11156,Harpersville,"Wilson, David Benjamin & Wilson, Phillip Brady",2000 Huntley Parkway,Pelham,AL,35124-
11157,La Mirada/South Whittier,"Padilla, Glenn & Angela C.",10885 Kalama River Avenue Suite K,Fountain Valley,CA,92708-
11158,Stoneham/Wakefield,"Lavigne, Patrick & Michelle",P.O. Box 1723,Haverhill,MA,01831-2423
11160,Fairfield,"Elvis, Matthew J. & Shelley C.",69 Commerce Place,Vacaville,CA,95687-
11161,West Miami,"Calzada, Jr., Osvaldo","2520 Coral Way, Suite 2-301",Coral Gables,FL,33145-
11162,Lake Forest South/Laguna Woods,"Bamdad, Behzad",22600 H Lambert Suite 1505,Lake Forest,CA,92630-
11165,Port Huron,"Ingersoll, Joshua A. & Dingman, Dean M.",5430 Lapeer Road,Kimball,MI,48074-
11166,South Holland/Dolton/Riverdale,"Zubricki, Frank G. & Patricia & Zubricki, Anthony F. & Zubricki, Amanda L. & Zubricki, Stephanie L.",5262 S Kolmar Avenue,Chicago,IL,60632-
11167,North Richland Hills,"Weaver, Michael J. & Liliana E.",6333 Airport Freeway Suite 107,Fort Worth,TX,76117-
11169,Northeast Charlotte,"Tyson, Jr., William Wesley",5031 W WT Harris Blvd Suite E,Charlotte,NC,28269-
11170,Marble Falls and Lampasas,"Tonroy, Andrew Austin & Konke, Jr., Gary Alan & Masters, Emily C.",401 Industrial Blvd. Unit D,Burnet,TX,78611-
11171,Chaska/Chanhassen,"Clemente, Scott",3790 Lone Cedar Circle,Chaska,MN,55318-
11172,East Central Austin,"Olson, Erik S. & Kristine C. & Highsmith, Benjamin D. & Natalie N. & Beck, Scott",7019 Burleson Road,Austin,TX,78744-
11173,Spring/Tomball,"Olson, Erik S. & Kristine C. & Highsmith, Benjamin D. & Natalie N. & Beck, Scott",P.O. Box 1366,Tomball,TX,77377-
11174,Indianapolis West,"Olson, Erik S. & Kristine C. & Highsmith, Benjamin D. & Natalie N. & Beck, Scott",1205 Country Club Road,Indianapolis,IN,46234-
11175,North Onondaga County,"Skov, Timothy",301 Old 7th N Street,Liverpool,NY,13088-
11177,East Onondaga County,"Skov, Timothy",112 Pickard Drive E,Syracuse,NY,13211-
11180,Cape Girardeau & Scott Counties,"Hastings, Richard & Sandy & Davenport, Bryant M. & Brittany D.",166 La Salle Street,Cape Girardeau,MO,63701-9178
11181,Victor/Canandaigua,"Geyer, Samuel F.",2635 County Road 22,Canandaigua,NY,14424-
11182,South Atlanta,"Johnston, Rachel & Rogers, Derek & Astin, Danielle","3600 Dallas Highway, Ste 230 #252",Marietta,GA,30064-
11184,East Sioux Falls,"Birger, Adam T. & Jessica M.",701 E. 48th Street N.,Sioux Falls,SD,57104-
11185,South Jefferson County,"Wilson, David Benjamin & Wilson, Phillip Brady",2000 Huntley Parkway,Pelham,AL,35124-
11186,Shelby County,"Wilson, David Benjamin & Wilson, Phillip Brady",2000 Huntley Parkway,Pelham,AL,35124-
11188,DeKalb County,"Jackowiec, George & Margaret",1958 Aberdeen Ct,Sycamore,IL,60178-
11189,"Stoughton, Brockton","Luzzi, Dion M.",244 Liberty Street,Brockton,MA,02301-
11190,University City,"Fabiani, Vincent G.",5127 Lancaster Avenue,Philadelphia,PA,19131-
11192,Loveland,"Jeffries, Daniel & Amin, Arezo",308 N Link Lane,Fort Collins,CO,80524-
11193,Southeast Austin,"Olson, Erik S. & Kristine C. & Highsmith, Benjamin D. & Natalie N. & Beck, Scott",7019 Burleson Road,Austin,TX,78744-
11194,Indianapolis East,"Olson, Erik S. & Kristine C. & Highsmith, Benjamin D. & Natalie N. & Beck, Scott",6767 E. Washington Street Suite 2,Indianapolis,IN,46219-
11195,East Little Rock,"Legg, Donald & Aydlett, Brandon M.",7517 Counts Massie Road,North Little Rock,AR,72113-
11196,Bossier,"Legg, Donald & Legg, Corbin",8815 St. Vincent,Shreveport,LA,71106-
11197,Decorah,"Demuth, Scott & Elizabeth",604 Montgomery Street,Decorah,IA,52101-
11198,East Beaver County,"Krivan, Jeffrey J. & Diane M.",403 Pennsylvania Avenue,Monaca,PA,15061-
11199,South Fleming Island/North Bradford County,"Shirazyan, David F. & Svetlana Y.",2205 Dobbs Road Suite A,St. Augustine,FL,32086-
11201,Commerce City,"Harvey, Brian K. & Betsy Wells",5311 Niagara St,Commerce City,CO,80022-
11202,Maitland/Casselberry,"Tracy, Scott",125 S. Swoope Avenue,Maitland,FL,32751-
11203,"Stillwater, Oakdale, Mahtomedi","Lick, Christopher J. & Erin",3450 Yoerg Drive,Hudson,WI,54016-
11204,Bay County East,"Carter, Benjamin Kyle",1403 Florida Avenue,Panama City,FL,32401-
11205,Bay County West,"Carter, Benjamin Kyle",1403 Florida Avenue,Panama City,FL,32401-
11206,North Pensacola,"Carter, Benjamin Kyle",3345 Addison Drive,Pensacola,FL,32514-
11207,Northwest Escambia County,"Carter, Benjamin Kyle",3345 Addison Drive,Pensacola,FL,32514-
11208,Tifton,"Leverette, William E. (Pete) & Lindsay A.",P.O. Box 3124,Thomasville,GA,31799-
11209,North Frisco/Prosper/Celina,"Wilson, David Benjamin & Wilson, Phillip Brady",1250 S Oklahoma Drive,Celina,TX,75009-
11210,Abington/Jenkintown,"Lutz, Steven","777 Schwab Road, Suite P",Hatfield,PA,19440-
11211,Oldham/Shelby County,"Phillips, Jason & Smith, Jeff D.",P.O. Box 23517,Lexington,KY,40523-
11212,Cambridge/Belmont,"Brandao, Helder",67 Smith Place,Cambridge,MA,02138-
11213,Overland/Cool Valley,"Chestnas, Jeffrey & Sandra",P.O. Box 270504,St. Louis,MO,63127-
11214,Amador/Calaveras Counties,"Morris, Perry & Cara","59 Houston Lane, Suite B",Lodi,CA,95240-
11215,Charlottesville,"Lindsay, Jackson P.",1610 C Quail Run,Charlottesville,VA,22911-
11216,Aubrey/Little Elm,"Wilson, David Benjamin & Wilson, Phillip Brady",1250 S Oklahoma Drive,Celina,TX,75009-
11218,Rolla,"Corley, Robert C. & Hanneke, Jason M.",11205 Twitty Drive,Rolla,MO,65401--8195
11219,Clearfield,"Rich, David J.",2020 Painter Lane,West Haven,UT,84401-
11220,Cherry Creek,"Ellerbroek, Travis J. & Ellerbroek Jr., Michael J. & Ellerbroek, Joseph A. & Ellerbroek, Nicholas J.",14101 E Otero Avenue Suite 500,Englewood,CO,80112-
11221,Fargo,"Rossum, Trevor R.",25 South 17th Street,Fargo,ND,58103-
11222,Moorhead,"Rossum, Trevor R.",25 17th Street S,Fargo,ND,58103-
11223,Santa Fe,"Fierro, Noel Dominguez & Dominguez, Sergio",1119 Calle del Cielo,Santa Fe,NM,87507-
11224,Alphabet City/Downtown Manhattan,"Robbins, Timothy",74 Industrial Park Drive,Dover,NH,03820-
11226,Lancaster East,"Carlson, Kyle & Garibay, David",42156 10th Street West Unit R,Lancaster,CA,93534-
11227,Norristown,"Garcia, Jr., Ruben C. & Rzepski, David E. & Garcia, Andrew R. & Wurtz, Brad E.",503 Hurst Alley,Norristown,PA,19401-
11228,Manayunk and Chestnut Hill,"Garcia, Jr., Ruben C. & Rzepski, David E. & Garcia, Andrew R. & Wurtz, Brad E.",503 Hurst Alley,Norristown,PA,19401-
11229,West Knoxville,"Cuthbertson, Jeffrey & Jessica",3065 Horseshoe Bend Lane,Knoxville,TN,37931-
11230,Oak Ridge,"Cuthbertson, Jeffrey & Jessica",3065 Horshoe Bend Lane,Knoxville,TN,37931-
11231,Northwest Knoxville,"Cuthbertson, Jeffrey & Jessica",3065 Horshoe Bend Lane,Knoxville,TN,37931-
11232,North Naples,"Zubricki, Frank G. & Patricia & Zubricki, Anthony F. & Zubricki, Amanda L. & Zubricki, Stephanie L.",4328 Corporate Square Blvd #B,Naples,FL,34104-
11233,"Union, Towns, Fannin & Gilmer Counties","Northen, Rick R. & Maddux, Brenton J.",117 Industrial Park Dr.,Young Harris,GA,30582-
11235,New London,"O'Sullivan Jr., John & O'Sullivan, III, John K. & O'Sullivan, Kevin P.",300 State Street Suite 510,New London,CT,06320-
11236,"Centreville, Marion & Selma","Boyd, Travis E. & Haley W.",P.O. Box 511,Centreville,AL,35042-
11237,Southeast Milwaukee County,"Baucom, Jonathan E. & Elizabeth W.",2430 Tenth Avenue,South Milwaukee,WI,53172-
11239,Daviess County,"Cox, W. DeWayne & Lisa R.",3290B Warehouse Road,Owensboro,KY,42301-
11240,"Allen, Barren, Hart, Green and Taylor Counties","Cox, W. DeWayne & Lisa R.",6869 N. Dixie Hwy,Elizabethtown,KY,42701-
11241,"Butler, Hopkins, Ohio, Muhlenberg & Edmonson Count","Cox, W. DeWayne & Lisa R.",3290B Warehouse Rd.,Owensboro,KY,42301-
11242,Fresno Northeast/Shaver Lake,"Bouchard, Daniel & Teresa L.",546 Spruce Avenue Suite 101,Clovis,CA,93611-
11243,Palm Desert,"deBarros, Dart F. & Maria S.",73-605 Dinah Shore Drive #1000,Palm Desert,CA,92211-
11244,Denver Southwest,"Mayfield, Theresa & Mayfield, Estate of Gary",P.O. Box 1254,Englewood,CO,80150-
11245,"Coffee, Franklin, Warren Counties","Ridner, Patrick O.",1515 Bartlett Drive,Manchester,TN,37355-
11246,Palo Alto,"Kareem, Zahoor & Lalji, Farouk",2625 Middlefield Road #557,Palo Alto,CA,94306-
11247,Atherton/Redwood City,"Kareem, Zahoor & Lalji, Farouk",2625 Middlefield Road #557,Palo Alto,CA,94306-
11248,Calumet City/Lansing,"Nichols, Robert L. & Kata L.",1725 N. Boudreau Road,Manteno,IL,60950-
